Month,Price_rs,Change,Price_dollar_rubber,Change_dollar,Rubber_type,Year
 May, 15940.00,-471, 212.55,-6.25,RSS4,2010
 June, 17022.00,1082, 226.95,14.4,RSS4,2010
 July, 18200.00,1178, 242.65,15.7,RSS4,2010
 August, 17970.00,-230, 239.60,-3.05,RSS4,2010
 September, 16638.00,-1332, 221.85,-17.75,RSS4,2010
 October, 18077.00,1439, 241.05,19.2,RSS4,2010
 November, 19893.00,1816, 265.25,24.2,RSS4,2010
 December, 20162.00,269, 268.85,3.6,RSS4,2010
 January, 7564.00,-371, 100.85,-4.95,ISNR50,2016
 February, 7577.00,13, 101.00,0.15,ISNR50,2016
 March, 9115.00,1538, 121.55,20.55,ISNR50,2016
 April, 11240.00,2125, 149.85,28.3,ISNR50,2016
 May, 11420.00,180, 152.25,2.4,ISNR50,2016
 June, 11200.00,-220, 149.35,-2.9,ISNR50,2016
 July, 11700.00,500, 156.00,6.65,ISNR50,2016
 August, 11188.00,-512, 149.15,-6.85,ISNR50,2016
 September, 9371.00,-1817, 124.95,-24.2,ISNR50,2016
 October, 9469.00,98, 126.25,1.3,ISNR50,2016
 November, 10328.00,859, 137.71,11.46,ISNR50,2016
 December, 11289.00,961, 150.50,12.79,ISNR50,2016
 January, 9917.00,832, 132.20,11.05,ISNR50,2015
 February, 9675.00,-242, 129.00,-3.2,ISNR50,2015
 March, 9612.00,-63, 128.15,-0.85,ISNR50,2015
 April, 9538.00,-74, 127.15,-1,ISNR50,2015
 May, 10031.00,493, 133.75,6.6,ISNR50,2015
 June, 10588.00,557, 141.15,7.4,ISNR50,2015
 July, 9969.00,-619, 132.90,-8.25,ISNR50,2015
 August, 9087.00,-882, 121.15,-11.75,ISNR50,2015
 September, 8760.00,-327, 116.80,-4.35,ISNR50,2015
 October, 9054.00,294, 120.70,3.9,ISNR50,2015
 November, 8632.00,-422, 115.10,-5.6,ISNR50,2015
 December, 7935.00,-697, 105.80,-9.3,ISNR50,2015
 January, 14292.00,-75, 190.55,-1,ISNR50,2014
 February, 13988.00,-304, 186.51,-4.04,ISNR50,2014
